Expt_No,T_Ambient,Cd_mM,Se_mM,OA_Cd_ratio,T_reactor,t_s,peak_nm,FWHM_nm,peak_eV,FWHM_eV,peak_height
2,22.36,10,10,40,200,10.001,461.439,37.831,2.687,0.217,211.815
2,22.36,10,10,40,200,20.896,486.814,28.406,2.547,0.148,826.856
2,22.36,10,10,40,200,30.972,493.12,29.729,2.514,0.151,1526.912
2,22.36,10,10,40,200,40.976,498.014,31.422,2.49,0.157,2223.385
2,22.36,10,10,40,200,51.015,503.597,32.411,2.462,0.159,3030.434
2,22.36,10,10,40,200,62.902,507.428,33.405,2.443,0.161,3667.06
2,22.36,10,10,40,200,80.001,511.601,34.396,2.423,0.163,4376.22
2,22.36,10,10,40,200,100.001,513.337,34.368,2.415,0.162,4823.156
2,22.36,10,10,40,200,120.001,518.54,35.34,2.391,0.163,5569.64
2,22.36,10,10,40,200,140.001,522.349,35.297,2.374,0.161,5923.351
2,22.36,10,10,40,200,160.001,525.462,35.602,2.36,0.16,6318.299
2,22.36,10,10,40,200,200.001,528.57,36.249,2.346,0.161,6664.189
2,22.36,10,10,40,200,240.001,532.019,36.194,2.33,0.159,6924.762
2,22.36,10,10,40,200,280.001,534.431,36.507,2.32,0.159,7160.33
2,22.36,10,10,40,200,330.001,538.216,36.106,2.304,0.155,7436.707
2,22.36,10,10,40,200,380.001,540.622,36.413,2.293,0.155,7359.437
2,22.36,10,10,40,200,450.001,543.368,36.372,2.282,0.153,7412.026
2,22.36,10,10,40,200,500.001,546.455,35.987,2.269,0.15,7167.669
2,22.36,10,10,40,200,550.001,547.825,35.968,2.263,0.149,7022.838
2,22.36,10,10,40,200,600.001,549.537,35.602,2.256,0.147,6869.199
3,21.99,10,10,40,200,10.001,462.855,34.3,2.679,0.197,236.151
3,21.99,10,10,40,200,20.831,486.463,28.054,2.549,0.146,869.649
3,21.99,10,10,40,200,30.906,493.47,29.378,2.512,0.149,1576.565
3,21.99,10,10,40,200,40.914,499.062,30.716,2.484,0.153,2288.625
3,21.99,10,10,40,200,50.994,503.597,31.709,2.462,0.155,2985.056
3,21.99,10,10,40,200,62.818,507.08,33.059,2.445,0.159,3524.4
3,21.99,10,10,40,200,80.001,511.253,34.051,2.425,0.162,4111.496
3,21.99,10,10,40,200,100.001,515.073,35.043,2.407,0.164,4755.77
3,21.99,10,10,40,200,120.001,518.887,34.647,2.389,0.16,5392.109
3,21.99,10,10,40,200,140.001,522.349,35.293,2.374,0.161,5890.223
3,21.99,10,10,40,200,160.001,525.116,35.254,2.361,0.159,6294.132
3,21.99,10,10,40,200,200.001,527.879,35.563,2.349,0.159,6684.712
3,21.99,10,10,40,200,240.001,531.33,35.858,2.333,0.158,6911.397
3,21.99,10,10,40,200,280.001,534.431,35.809,2.32,0.155,7030.706
3,21.99,10,10,40,200,330.001,537.528,36.116,2.307,0.155,7256.987
3,21.99,10,10,40,200,380.001,540.622,35.731,2.293,0.152,7253.06
3,21.99,10,10,40,200,450.001,543.368,35.686,2.282,0.15,7179.191
3,21.99,10,10,40,200,500.001,546.112,35.652,2.27,0.149,7123.943
3,21.99,10,10,40,200,550.001,547.483,35.627,2.265,0.148,6835.852
3,21.99,10,10,40,200,600.001,548.51,35.613,2.26,0.147,6841.736
4,22.09,10,10,40,200,10.001,461.085,32.556,2.689,0.188,253.452
4,22.09,10,10,40,200,21.068,486.112,27.356,2.551,0.143,885.413
4,22.09,10,10,40,200,31.297,493.47,28.679,2.512,0.146,1573.622
4,22.09,10,10,40,200,41.332,499.411,30.712,2.483,0.152,2265.047
