Expt_No,T_Ambient,Cd_mM,Se_mM,OA_Cd_ratio,T_reactor,t_s,peak_nm,FWHM_nm,peak_eV,FWHM_eV,peak_height (Abs)
2,22.36,10,10,40,200,10.001,443.676,34.958,2.795,0.21,0.05
2,22.36,10,10,40,200,20.896,455.072,46.266,2.725,0.26,0.065
2,22.36,10,10,40,200,30.972,467.052,43.421,2.654,0.231,0.091
2,22.36,10,10,40,200,40.976,473.893,45.011,2.616,0.233,0.114
2,22.36,10,10,40,200,51.015,479.091,45.605,2.588,0.23,0.134
2,22.36,10,10,40,200,62.902,483.91,47.027,2.562,0.233,0.158
2,22.36,10,10,40,200,80.001,489.062,48.471,2.535,0.235,0.186
2,22.36,10,10,40,200,100.001,494.264,47.785,2.508,0.227,0.215
2,22.36,10,10,40,200,120.001,498.231,48.287,2.488,0.226,0.246
2,22.36,10,10,40,200,140.001,501.446,48.411,2.472,0.223,0.271
2,22.36,10,10,40,200,160.001,503.936,48.504,2.46,0.222,0.295
2,22.36,10,10,40,200,200.001,507.373,49.244,2.443,0.222,0.333
2,22.36,10,10,40,200,240.001,510.305,49.817,2.43,0.222,0.372
2,22.36,10,10,40,200,280.001,512.885,50.098,2.417,0.221,0.407
2,22.36,10,10,40,200,330.001,515.059,51.052,2.407,0.223,0.445
2,22.36,10,10,40,200,380.001,517.152,51.527,2.398,0.224,0.479
2,22.36,10,10,40,200,450.001,519.988,51.34,2.385,0.22,0.516
2,22.36,10,10,40,200,500.001,521.64,51.562,2.377,0.22,0.544
2,22.36,10,10,40,200,550.001,523.113,51.664,2.37,0.219,0.567
2,22.36,10,10,40,200,600.001,524.523,51.628,2.364,0.218,0.586
3,21.99,10,10,40,200,10.001,444.211,32.42,2.792,0.195,0.052
3,21.99,10,10,40,200,20.831,457.855,42.409,2.707,0.235,0.062
3,21.99,10,10,40,200,30.906,467.793,43.291,2.65,0.231,0.086
3,21.99,10,10,40,200,40.914,475.285,43.557,2.608,0.224,0.106
3,21.99,10,10,40,200,50.994,480.207,44.62,2.581,0.225,0.123
3,21.99,10,10,40,200,62.818,484.766,46.27,2.557,0.229,0.144
3,21.99,10,10,40,200,80.001,489.735,47.499,2.532,0.23,0.169
3,21.99,10,10,40,200,100.001,495.238,46.898,2.503,0.222,0.195
3,21.99,10,10,40,200,120.001,498.642,47.837,2.486,0.223,0.221
3,21.99,10,10,40,200,140.001,501.986,47.415,2.47,0.218,0.242
3,21.99,10,10,40,200,160.001,504.244,47.986,2.459,0.219,0.264
3,21.99,10,10,40,200,200.001,507.738,48.437,2.442,0.218,0.297
3,21.99,10,10,40,200,240.001,510.625,49.127,2.428,0.219,0.331
3,21.99,10,10,40,200,280.001,512.959,49.858,2.417,0.22,0.363
3,21.99,10,10,40,200,330.001,515.672,50.065,2.404,0.219,0.395
3,21.99,10,10,40,200,380.001,517.277,51.325,2.397,0.223,0.427
3,21.99,10,10,40,200,450.001,520.394,50.6,2.383,0.217,0.458
3,21.99,10,10,40,200,500.001,522.217,50.681,2.374,0.216,0.482
3,21.99,10,10,40,200,550.001,523.546,51.045,2.368,0.217,0.503
3,21.99,10,10,40,200,600.001,524.936,50.948,2.362,0.215,0.52
4,22.09,10,10,40,200,10.001,443.393,31.162,2.797,0.188,0.059
4,22.09,10,10,40,200,21.068,459.059,40.107,2.701,0.222,0.062
4,22.09,10,10,40,200,31.297,469.063,40.775,2.643,0.217,0.084
4,22.09,10,10,40,200,41.332,476.169,42.135,2.603,0.216,0.1
4,22.09,10,10,40,200,51.336,481.362,43.134,2.575,0.217,0.116
4,22.09,10,10,40,200,63.206,486.081,44.966,2.55,0.221,0.134
4,22.09,10,10,40,200,80.001,490.974,45.675,2.525,0.22,0.154
4,22.09,10,10,40,200,100.001,496.239,46.268,2.498,0.218,0.179
4,22.09,10,10,40,200,120.001,499.561,46.987,2.482,0.219,0.201
4,22.09,10,10,40,200,140.001,502.183,47.32,2.469,0.218,0.218
4,22.09,10,10,40,200,160.001,505.133,47.404,2.454,0.216,0.24
4,22.09,10,10,40,200,200.001,508.4,48.293,2.438,0.217,0.27
4,22.09,10,10,40,200,240.001,510.955,49,2.426,0.218,0.298
4,22.09,10,10,40,200,280.001,513.402,50.062,2.415,0.221,0.329
4,22.09,10,10,40,200,330.001,515.991,49.772,2.403,0.217,0.355
4,22.09,10,10,40,200,380.001,518.729,49.695,2.39,0.215,0.384
4,22.09,10,10,40,200,450.001,521.384,49.702,2.378,0.212,0.414
4,22.09,10,10,40,200,500.001,523.395,49.511,2.369,0.21,0.435
4,22.09,10,10,40,200,550.001,524.619,49.634,2.364,0.21,0.452
4,22.09,10,10,40,200,600.001,526.062,49.73,2.357,0.209,0.469
5,21.96,10,10,40,200,10.001,441.252,30.346,2.811,0.186,0.063
5,21.96,10,10,40,200,20.918,458.373,38.858,2.705,0.216,0.065
5,21.96,10,10,40,200,30.981,468.571,40.223,2.646,0.214,0.087
5,21.96,10,10,40,200,41.025,476.11,41.171,2.604,0.212,0.103
5,21.96,10,10,40,200,51.098,481.002,42.762,2.577,0.215,0.118
5,21.96,10,10,40,200,62.93,485.891,44.197,2.552,0.218,0.135
5,21.96,10,10,40,200,80.001,491.284,45.172,2.523,0.217,0.156
5,21.96,10,10,40,200,100.001,496.148,45.925,2.499,0.217,0.181
5,21.96,10,10,40,200,120.001,499.114,46.818,2.484,0.218,0.2
5,21.96,10,10,40,200,140.001,502.427,46.714,2.467,0.215,0.219
5,21.96,10,10,40,200,160.001,505.102,47.229,2.454,0.215,0.24
5,21.96,10,10,40,200,200.001,507.898,48.341,2.441,0.218,0.267
5,21.96,10,10,40,200,240.001,511.462,48.594,2.424,0.216,0.299
5,21.96,10,10,40,200,280.001,513.906,49.331,2.413,0.217,0.327
5,21.96,10,10,40,200,330.001,516.691,49.298,2.4,0.215,0.356
5,21.96,10,10,40,200,380.001,518.969,49.52,2.389,0.214,0.382
5,21.96,10,10,40,200,450.001,521.974,49.05,2.375,0.209,0.411
5,21.96,10,10,40,200,500.001,523.356,49.801,2.369,0.212,0.433
5,21.96,10,10,40,200,550.001,525.029,49.605,2.362,0.209,0.45
5,21.96,10,10,40,200,600.001,526.45,49.526,2.355,0.208,0.466
6,22.07,10,10,40,200,10.001,440.595,30.264,2.815,0.186,0.068
6,22.07,10,10,40,200,25.102,463.723,38.615,2.674,0.211,0.071
6,22.07,10,10,40,200,35.332,471.941,39.463,2.627,0.207,0.1
6,22.07,10,10,40,200,45.366,478.064,41.093,2.593,0.21,0.117
